Temperature, Year,Month
10.7526,2016,January
12.5766,2016,February
17.29,2016,March
23.092,2016,April
27.9996,2016,May
30.2144,2016,June
29.6574,2016,July
27.6332,2016,August
26.7179,2016,September
22.3982,2016,October
15.7672,2016,November
12.8763,2016,December
